id,url,caption,hotel_id,hotel_name,is_main,source
"lp656c74ff-8","https://static.cupid.travel/hotels/ex_a44a0419_z.jpg","balance & terrace","lp656c74ff","Belvedere 4 3 Bedroom Townhouse by RedAwning",false,"liteapi"
"lp100853-1","https://static.cupid.travel/hotels/ex_f68499a3_z.jpg","balance & terrace","lp100853","Belvedere Park 1",false,"liteapi"
"lp100853-13","https://static.cupid.travel/hotels/ex_b2f74e34_z.jpg","balance & terrace","lp100853","Belvedere Park 1",false,"liteapi"
"lp100853-17","https://static.cupid.travel/hotels/ex_f0946c7d_z.jpg","balance & terrace","lp100853","Belvedere Park 1",false,"liteapi"
"lp65584fec-1","https://static.cupid.travel/hotels/ex_174a14b4_z.jpg","balance & terrace","lp65584fec","Blue Mesa 2 Unit Buyout by Avantstay 2 Units Centrally Located Ski In/ Ski Out Unit!",false,"liteapi"
"lp65584fec-8","https://static.cupid.travel/hotels/ex_9ea42f80_z.jpg","balance & terrace","lp65584fec","Blue Mesa 2 Unit Buyout by Avantstay 2 Units Centrally Located Ski In/ Ski Out Unit!",false,"liteapi"
"lp65584f7c-6","https://static.cupid.travel/hotels/ex_997482ac_z.jpg","balance & terrace","lp65584f7c","Blue Mesa Lodge 23C by Avantstay Functional Ski In/ski Out Studio w/ Balcony in Great Location!",false,"liteapi"
"lp6558380e-1","https://static.cupid.travel/hotels/ex_6c1c8978_z.jpg","balance & terrace","lp6558380e","Blue Mesa Penthouse by Avantstay Buyout of 3 Units Ski-in/ski-out Condo",false,"liteapi"
"lp6558380e-13","https://static.cupid.travel/hotels/ex_f10e340e_z.jpg","balance & terrace","lp6558380e","Blue Mesa Penthouse by Avantstay Buyout of 3 Units Ski-in/ski-out Condo",false,"liteapi"
"lp6579cd15-25","https://static.cupid.travel/hotels/581685759.jpg","balance & terrace","lp6579cd15","Box Canyon View",false,"liteapi"
"lpa0351-2","https://static.cupid.travel/hotels/ex_50ba3a2f_z.jpg","balance & terrace","lpa0351","Buena Vista at Riverside 2 Bedroom Condo by Accommodations in Telluride",false,"liteapi"
"lpa0351-12","https://static.cupid.travel/hotels/ex_98247052_z.jpg","balance & terrace","lpa0351","Buena Vista at Riverside 2 Bedroom Condo by Accommodations in Telluride",false,"liteapi"
"lp33f05b-9","https://static.cupid.travel/hotels/ex_919e4024_z.jpg","balance & terrace","lp33f05b","Charlie's Place B",false,"liteapi"
"lp33f05b-10","https://static.cupid.travel/hotels/ex_1cf33efb_z.jpg","balance & terrace","lp33f05b","Charlie's Place B",false,"liteapi"
"lp656c8bd0-1","https://static.cupid.travel/hotels/ex_f4ab5fa0_z.jpg","balance & terrace","lp656c8bd0","Chic, Modern Walk Anywhere @ Viking Lodge 206 1 Bedroom Condo by RedAwning",false,"liteapi"
"lp322757-1","https://static.cupid.travel/hotels/ex_31e9b4ee_z.jpg","balance & terrace","lp322757","Christel - Peaceful West End Home, Downtown Telluride, Walk to Ski",false,"liteapi"
"lp322757-12","https://static.cupid.travel/hotels/ex_251ee256_z.jpg","balance & terrace","lp322757","Christel - Peaceful West End Home, Downtown Telluride, Walk to Ski",false,"liteapi"
"lp65708063-22","https://static.cupid.travel/hotels/ex_17af075e_z.jpg","balance & terrace","lp65708063","Cimarron Lodge 16 2 Bedroom Condo by RedAwning",false,"liteapi"
"lp65585273-8","https://static.cupid.travel/hotels/ex_7260e5dd_z.jpg","balance & terrace","lp65585273","Cimarron Lodge 27 by Avantstay Ski-in/ski-out Property in Complex w/ Two Hot Tubs! Permit#10026",false,"liteapi"
"lp656c943e-3","https://static.cupid.travel/hotels/ex_08ba90ba_z.jpg","balance & terrace","lp656c943e","Cimarron Lodge 33 2 Bedroom Condo by RedAwning",false,"liteapi"
"lp655852e5-1","https://static.cupid.travel/hotels/ex_b7452e7b_z.jpg","balance & terrace","lp655852e5","Cimarron Lodge 7 by Avantstay Ski-in/ski-out Property in Complex w/ Two Hot Tubs!",false,"liteapi"
"lp656c8c2e-39","https://static.cupid.travel/hotels/ex_3f72c197_z.jpg","balance & terrace","lp656c8c2e","Clean, Cozy Riverside Condo, Walk Everywhere @ Viking Lodge 212 1 Bedroom Condo by RedAwning",false,"liteapi"
"lp656c8502-32","https://static.cupid.travel/hotels/ex_ac1efa94_z.jpg","balance & terrace","lp656c8502","Cloud Nine! Near Chair 7, Top Floor On River + Hot Tub 1 Bedroom Condo by RedAwning",false,"liteapi"
"lp656c8502-39","https://static.cupid.travel/hotels/ex_0f2c64b6_z.jpg","balance & terrace","lp656c8502","Cloud Nine! Near Chair 7, Top Floor On River + Hot Tub 1 Bedroom Condo by RedAwning",false,"liteapi"
"lp65713c13-3","https://static.cupid.travel/hotels/ex_d0abf7d7_z.jpg","balance & terrace","lp65713c13","Columbia Place 5 by Avantstay Ski-in/ski-out Unit in Great Location!",false,"liteapi"
"lpc0214-1","https://static.cupid.travel/hotels/ex_f3d5f275_z.jpg","balance & terrace","lpc0214","Columbine House",false,"liteapi"
"lpc0214-2","https://static.cupid.travel/hotels/ex_8d44b01b_z.jpg","balance & terrace","lpc0214","Columbine House",false,"liteapi"
"lpc0214-4","https://static.cupid.travel/hotels/ex_6c0db30b_z.jpg","balance & terrace","lpc0214","Columbine House",false,"liteapi"
"lpc0214-5","https://static.cupid.travel/hotels/ex_eaecd8e0_z.jpg","balance & terrace","lpc0214","Columbine House",false,"liteapi"
"lp656c8bd5-13","https://static.cupid.travel/hotels/ex_e55598e4_z.jpg","balance & terrace","lp656c8bd5","Comfy Casual Near Gondola & Main Street! @ Needle Rock 3 2 Bedroom Condo by RedAwning",false,"liteapi"
"lp656c8bd5-14","https://static.cupid.travel/hotels/ex_4420500d_z.jpg","balance & terrace","lp656c8bd5","Comfy Casual Near Gondola & Main Street! @ Needle Rock 3 2 Bedroom Condo by RedAwning",false,"liteapi"
"lp656c8bd5-25","https://static.cupid.travel/hotels/ex_80f2772f_z.jpg","balance & terrace","lp656c8bd5","Comfy Casual Near Gondola & Main Street! @ Needle Rock 3 2 Bedroom Condo by RedAwning",false,"liteapi"
"lp6558527a-1","https://static.cupid.travel/hotels/ex_2be0bdcb_z.jpg","balance & terrace","lp6558527a","Crystal Chalet 12 by Avantstay Close to Town w/ Views of San Sofia Ridge",false,"liteapi"
"lp6558527a-28","https://static.cupid.travel/hotels/ex_62d2acea_z.jpg","balance & terrace","lp6558527a","Crystal Chalet 12 by Avantstay Close to Town w/ Views of San Sofia Ridge",false,"liteapi"
"lp6558527a-29","https://static.cupid.travel/hotels/ex_5dae1910_z.jpg","balance & terrace","lp6558527a","Crystal Chalet 12 by Avantstay Close to Town w/ Views of San Sofia Ridge",false,"liteapi"
"lp6558527a-30","https://static.cupid.travel/hotels/ex_cbd4eb4b_z.jpg","balance & terrace","lp6558527a","Crystal Chalet 12 by Avantstay Close to Town w/ Views of San Sofia Ridge",false,"liteapi"
"lp655835a6-10","https://static.cupid.travel/hotels/ex_5e297ae3_z.jpg","balance & terrace","lp655835a6","Double Diamond 23 by Avantstay Close to Town & The Slopes!",false,"liteapi"
"lp656c988a-1","https://static.cupid.travel/hotels/ex_dfe089b4_z.jpg","balance & terrace","lp656c988a","East Side Hideaway 3 Bedroom Condo by RedAwning",false,"liteapi"
"lp656c988a-23","https://static.cupid.travel/hotels/ex_828bcf67_z.jpg","balance & terrace","lp656c988a","East Side Hideaway 3 Bedroom Condo by RedAwning",false,"liteapi"
"lp656c988a-34","https://static.cupid.travel/hotels/ex_e1c272e8_z.jpg","balance & terrace","lp656c988a","East Side Hideaway 3 Bedroom Condo by RedAwning",false,"liteapi"
"lpa04e6-11","https://static.cupid.travel/hotels/ex_d2489be4_z.jpg","balance & terrace","lpa04e6","El Diente A 2 Bedroom Holiday home By Accommodations in Telluride",false,"liteapi"
"lp6558511d-1","https://static.cupid.travel/hotels/ex_c07289c9_z.jpg","balance & terrace","lp6558511d","Emerald Elk at Village Creek by Avantstay Close to Slopes & Village w/ Views",false,"liteapi"
"lp6558511d-4","https://static.cupid.travel/hotels/ex_a576db29_z.jpg","balance & terrace","lp6558511d","Emerald Elk at Village Creek by Avantstay Close to Slopes & Village w/ Views",false,"liteapi"
"lp6558511d-18","https://static.cupid.travel/hotels/ex_664f0a0e_z.jpg","balance & terrace","lp6558511d","Emerald Elk at Village Creek by Avantstay Close to Slopes & Village w/ Views",false,"liteapi"
"lp656f281e-12","https://static.cupid.travel/hotels/ex_e2651449_z.jpg","balance & terrace","lp656f281e","Etta Place 7 by Avantstay Ski In/ Ski Out Unit w/ Striking Views!",false,"liteapi"
"lp6558511f-8","https://static.cupid.travel/hotels/ex_c2db45c2_z.jpg","balance & terrace","lp6558511f","Etta Place Too 103 by Avantstay Close to Town & The Slopes! In Complex w/ Communal Pool & Hot Tub",false,"liteapi"
"lp3226d4-2","https://static.cupid.travel/hotels/ex_f8da8736_z.jpg","balance & terrace","lp3226d4","FOX Farm Retreat",false,"liteapi"
"lp3226d4-15","https://static.cupid.travel/hotels/ex_53a130f4_z.jpg","balance & terrace","lp3226d4","FOX Farm Retreat",false,"liteapi"
"lp6574364f-35","https://static.cupid.travel/hotels/ex_919eddd7_z.jpg","balance & terrace","lp6574364f","Franz Klammer 2 Bedroom",false,"liteapi"
